Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.016    0.016  391.377  391.377 Go_trials.py:6(<module>)
        1    0.000    0.000  390.503  390.503 _minimize.py:37(minimize)
        1    0.007    0.007  390.503  390.503 optimize.py:386(_minimize_neldermead)
      127    2.234    0.018  390.492    3.075 optimize.py:279(function_wrapper)
      127    0.550    0.004  388.258    3.057 Go_trials.py:203(error_function_Go)
      127   59.828    0.471  332.177    2.616 Go_trials.py:74(get_trials)
 12700000  220.870    0.000  271.739    0.000 {model_cython.get_fac}
      127   23.976    0.189   52.234    0.411 Go_trials.py:136(get_emg_onsets)
 12700000   14.019    0.000   50.870    0.000 numeric.py:81(zeros_like)
      127    0.001    0.000   14.973    0.118 fromnumeric.py:1372(nonzero)
      508   14.973    0.029   14.973    0.029 {method 'nonzero' of 'numpy.ndarray' objects}
     2159   13.296    0.006   13.301    0.006 function_base.py:1055(diff)
 12701146   12.795    0.000   12.795    0.000 {numpy.core.multiarray.zeros}
 12700000   12.581    0.000   12.581    0.000 {numpy.core.multiarray.empty_like}
 12700128   11.479    0.000   11.479    0.000 {numpy.core.multiarray.copyto}
      508    0.014    0.000    2.659    0.005 Go_trials.py:169(get_chisquare)
     1016    0.031    0.000    2.566    0.003 function_base.py:78(histogram)
     1524    0.003    0.000    2.414    0.002 fromnumeric.py:686(sort)
     1524    2.366    0.002    2.366    0.002 {method 'sort' of 'numpy.ndarray' objects}
      127    0.545    0.004    0.577    0.005 Go_trials.py:113(get_fac_tms_vals)
      127    0.512    0.004    0.512    0.004 {method 'normal' of 'mtrand.RandomState' objects}
        1    0.011    0.011    0.385    0.385 __init__.py:331(<module>)
        1    0.005    0.005    0.367    0.367 stats.py:166(<module>)
        1    0.006    0.006    0.287    0.287 distributions.py:8(<module>)
        1    0.005    0.005    0.243    0.243 pyplot.py:17(<module>)
        7    0.044    0.006    0.182    0.026 __init__.py:1(<module>)
        1    0.008    0.008    0.159    0.159 _distn_infrastructure.py:5(<module>)
        1    0.013    0.013    0.152    0.152 __init__.py:106(<module>)
        1    0.006    0.006    0.114    0.114 colorbar.py:20(<module>)
        1    0.005    0.005    0.111    0.111 _continuous_distns.py:5(<module>)
       86    0.004    0.000    0.105    0.001 _distn_infrastructure.py:1395(__init__)
        1    0.007    0.007    0.105    0.105 __init__.py:159(<module>)
        1    0.001    0.001    0.097    0.097 add_newdocs.py:10(<module>)
     3024    0.095    0.000    0.095    0.000 {range}
       99    0.002    0.000    0.086    0.001 _distn_infrastructure.py:691(_construct_doc)
